Domain,MCP_URL
airsaas.io,https://mcp.airsaas.io/.well-known/mcp-server
airtable.com,https://mcp.airtable.com/.well-known/mcp-server
airwallex.com,https://mcp.airwallex.com/.well-known/mcp-server
aiseo.ai,https://mcp.aiseo.ai/.well-known/mcp-server
aislelabs.com,https://mcp.aislelabs.com/.well-known/mcp-server
aitomatic.com,https://mcp.aitomatic.com/.well-known/mcp-server
aivideo.com,https://mcp.aivideo.com/.well-known/mcp-server
ajlanbros-holding.com,https://mcp.ajlanbros-holding.com/.well-known/mcp-server
akamai.com,https://mcp.akamai.com/.well-known/mcp-server
akiflow.com,https://mcp.akiflow.com/.well-known/mcp-server
akua.la,https://mcp.akua.la/.well-known/mcp-server
alaimolabs.com,https://mcp.alaimolabs.com/.well-known/mcp-server
alamah.om,https://mcp.alamah.om/.well-known/mcp-server
alchemy.com,https://mcp.alchemy.com/.well-known/mcp-server
alegra.com,https://mcp.alegra.com/.well-known/mcp-server
aleluya.com,https://mcp.aleluya.com/.well-known/mcp-server
alex.com,https://mcp.alex.com/.well-known/mcp-server
algoed.co,https://mcp.algoed.co/.well-known/mcp-server
algolia.com,https://mcp.algolia.com/.well-known/mcp-server
aljassar.com,https://mcp.aljassar.com/.well-known/mcp-server
allaboard.eu,https://mcp.allaboard.eu/.well-known/mcp-server
allbridge.io,https://mcp.allbridge.io/.well-known/mcp-server
allcore.it,https://mcp.allcore.it/.well-known/mcp-server
allears.ai,https://mcp.allears.ai/.well-known/mcp-server
allegrow.co,https://mcp.allegrow.co/.well-known/mcp-server
allianceabroad.com,https://mcp.allianceabroad.com/.well-known/mcp-server
alliontechnologies.ca,https://mcp.alliontechnologies.ca/.well-known/mcp-server
allium.so,https://mcp.allium.so/.well-known/mcp-server
allocate.co,https://mcp.allocate.co/.well-known/mcp-server
alloy.app,https://mcp.alloy.app/.well-known/mcp-server
allsides.com,https://mcp.allsides.com/.well-known/mcp-server
allunite.com,https://mcp.allunite.com/.well-known/mcp-server
alma.food,https://mcp.alma.food/.well-known/mcp-server
alo-tech.com,https://mcp.alo-tech.com/.well-known/mcp-server
alpaca.markets,https://mcp.alpaca.markets/.well-known/mcp-server
alpha.ac,https://mcp.alpha.ac/.well-known/mcp-server
alphavantage.co,https://mcp.alphavantage.co/.well-known/mcp-server
alpic.ai,https://mcp.alpic.ai/.well-known/mcp-server
alpy.com,https://mcp.alpy.com/.well-known/mcp-server
alterdomus.com,https://mcp.alterdomus.com/.well-known/mcp-server
altertable.ai,https://mcp.altertable.ai/.well-known/mcp-server
altfins.com,https://mcp.altfins.com/.well-known/mcp-server
altfndata.com,https://mcp.altfndata.com/.well-known/mcp-server
altios.ai,https://mcp.altios.ai/.well-known/mcp-server
altuspower.com,https://mcp.altuspower.com/.well-known/mcp-server
alvoradams.com.br,https://mcp.alvoradams.com.br/.well-known/mcp-server
amalgamrx.com,https://mcp.amalgamrx.com/.well-known/mcp-server
amarix.com,https://mcp.amarix.com/.well-known/mcp-server
