Domain,Authentication_Method,Risk_Level
aniamanagement.com,OAuth 2.0,Low
animaj.com,OAuth 2.0,Low
anomalycapital.com,OAuth 2.0,Low
antavo.com,OAuth 2.0,Low
antbuddy.com,OAuth 2.0,Low
antimetal.com,OAuth 2.0,Low
antler.co,OAuth 2.0,Low
antsomi.com,OAuth 2.0,Low
anyonehome.com,OAuth 2.0,Low
apaleo.com,OAuth 2.0,Low
aparti.ai,OAuth 2.0,Low
aperture.london,OAuth 2.0,Low
api-and-you.com,OAuth 2.0,Low
apicbase.com,OAuth 2.0,Low
apify.com,OAuth 2.0,Low
apolline.art,OAuth 2.0,Low
apono.io,OAuth 2.0,Low
appcircle.io,OAuth 2.0,Low
appcues.com,OAuth 2.0,Low
appflow.ai,OAuth 2.0,Low
appliedmetatheory.org,OAuth 2.0,Low
applypass.com,OAuth 2.0,Low
appmedo.com,OAuth 2.0,Low
apprecio.com,OAuth 2.0,Low
apter.com.br,OAuth 2.0,Low
aptoide.com,OAuth 2.0,Low
aqmen.ai,OAuth 2.0,Low
aquant.ai,OAuth 2.0,Low
aquilax.ai,OAuth 2.0,Low
aquion.com.au,OAuth 2.0,Low
arcade.software,OAuth 2.0,Low
arcadis.com,OAuth 2.0,Low
arcananet.com,OAuth 2.0,Low
archera.ai,OAuth 2.0,Low
archilogic.com,OAuth 2.0,Low
arcwise.app,OAuth 2.0,Low
are.na,OAuth 2.0,Low
arena.com.tr,OAuth 2.0,Low
aries.com,OAuth 2.0,Low
aris.in,OAuth 2.0,Low
aritium.com,OAuth 2.0,Low
arll.eu,OAuth 2.0,Low
armature.tech,OAuth 2.0,Low
armor1.ai,OAuth 2.0,Low
aromatruffle.com,OAuth 2.0,Low
aroya.io,OAuth 2.0,Low
arta.ch,OAuth 2.0,Low
artblocks.io,OAuth 2.0,Low
artemis.ai,OAuth 2.0,Low
arternal.com,OAuth 2.0,Low
articulate.com,OAuth 2.0,Low
artie.com,OAuth 2.0,Low
artofscale.io,OAuth 2.0,Low
artxfood.fr,OAuth 2.0,Low
asana.com,OAuth 2.0,Low
ascendancy.co,OAuth 2.0,Low
ascgroup.net,OAuth 2.0,Low
ashbyhq.com,OAuth 2.0,Low
askable.com,OAuth 2.0,Low
askturing.ai,OAuth 2.0,Low
aspirelearning.app,OAuth 2.0,Low
asset-industrial.com,OAuth 2.0,Low
asteroid.ai,OAuth 2.0,Low
astra-sa.com,OAuth 2.0,Low
astrasync.ai,OAuth 2.0,Low
astrologyapi.com,OAuth 2.0,Low
athenium.com,OAuth 2.0,Low
atiaustralia.edu.au,OAuth 2.0,Low
atlan.com,OAuth 2.0,Low
atlar.com,OAuth 2.0,Low
atlaspeople.io,OAuth 2.0,Low
atlasx.co,OAuth 2.0,Low
atlys.com,OAuth 2.0,Low
atm-maggioli.es,OAuth 2.0,Low
atom.com,OAuth 2.0,Low
atomic.supply,OAuth 2.0,Low
atominvest.co,OAuth 2.0,Low
atqor.com,OAuth 2.0,Low
atriumdata.ai,OAuth 2.0,Low
attio.com,OAuth 2.0,Low
attomdata.com,OAuth 2.0,Low
attributionapp.com,OAuth 2.0,Low
audens-avocats.com,OAuth 2.0,Low
audible.com,OAuth 2.0,Low
audiencelab.io,OAuth 2.0,Low
audiopod.ai,OAuth 2.0,Low
audioscape.ai,OAuth 2.0,Low
auglio.com,OAuth 2.0,Low
augursecurity.com,OAuth 2.0,Low
aurait.ai,OAuth 2.0,Low
aurelian.com,OAuth 2.0,Low
austintechnology.com.au,OAuth 2.0,Low
authing.cn,OAuth 2.0,Low
authzed.com,OAuth 2.0,Low
autobahnporsche.com,OAuth 2.0,Low
autobooks.co,OAuth 2.0,Low
autonimate.com,OAuth 2.0,Low
autosana.ai,OAuth 2.0,Low
avalara.com,OAuth 2.0,Low
avertro.com,OAuth 2.0,Low
avmap.it,OAuth 2.0,Low
avo.app,OAuth 2.0,Low
avoma.com,OAuth 2.0,Low
awo.agency,OAuth 2.0,Low
axify.io,OAuth 2.0,Low
axiocap.com,OAuth 2.0,Low
axiom.co,OAuth 2.0,Low
axiommath.ai,OAuth 2.0,Low
ayana.com,OAuth 2.0,Low
azion.com,OAuth 2.0,Low
azxa.io,OAuth 2.0,Low
b.capital,OAuth 2.0,Low
b12.io,OAuth 2.0,Low
babbl-labs.com,OAuth 2.0,Low
babyjourney.se,OAuth 2.0,Low
backstage.com,OAuth 2.0,Low
backstory.ai,OAuth 2.0,Low
backyardbrains.com,OAuth 2.0,Low
badgermapping.com,OAuth 2.0,Low
badideas.fund,OAuth 2.0,Low
bagel.ai,OAuth 2.0,Low
bajajbroking.in,OAuth 2.0,Low
banked.com,OAuth 2.0,Low
barakadates.com,OAuth 2.0,Low
baredfootwear.com,OAuth 2.0,Low
baremetrics.com,OAuth 2.0,Low
barrowscs.com,OAuth 2.0,Low
base.org,OAuth 2.0,Low
base39.com.br,OAuth 2.0,Low
base8.io,OAuth 2.0,Low
basicops.com,OAuth 2.0,Low
baston.com.br,OAuth 2.0,Low
battery.com,OAuth 2.0,Low
baxtel.com,OAuth 2.0,Low
bazaart.com,OAuth 2.0,Low
bazaro.se,OAuth 2.0,Low
bazze.io,OAuth 2.0,Low
bdex.com,OAuth 2.0,Low
bdg.io,OAuth 2.0,Low
bdtax.com.bd,OAuth 2.0,Low
be.impact,OAuth 2.0,Low
beachbossinfluencers.com,OAuth 2.0,Low
beannbeancoffee.com,OAuth 2.0,Low
beaufort12.com,OAuth 2.0,Low
beautech.aero,OAuth 2.0,Low
bebakids.com,OAuth 2.0,Low
becomap.com,OAuth 2.0,Low
beemdata.com,OAuth 2.0,Low
beetshospitality.com,OAuth 2.0,Low
beforeyoubuy.com.au,OAuth 2.0,Low
befreed.ai,OAuth 2.0,Low
begolden.com.pl,OAuth 2.0,Low
