Domain,Authentication_Method,Risk_Level
dashbo.io,OAuth 2.0,Low
dashsocial.com,OAuth 2.0,Low
data-axle.com,OAuth 2.0,Low
data.gouv.fr,OAuth 2.0,Low
databar.ai,OAuth 2.0,Low
databox.com,OAuth 2.0,Low
datadome.co,OAuth 2.0,Low
dataforma.com,OAuth 2.0,Low
dataforseo.com,OAuth 2.0,Low
datagol.ai,OAuth 2.0,Low
datahawk.co,OAuth 2.0,Low
datahub.com,OAuth 2.0,Low
datalinks.com,OAuth 2.0,Low
datamaran.com,OAuth 2.0,Low
datanomik.com,OAuth 2.0,Low
dataplor.com,OAuth 2.0,Low
datapolicy.co,OAuth 2.0,Low
dataprovider.com,OAuth 2.0,Low
datarails.com,OAuth 2.0,Low
dataslayer.ai,OAuth 2.0,Low
dataspike.io,OAuth 2.0,Low
datayes.com,OAuth 2.0,Low
datocms.com,OAuth 2.0,Low
dcluttr.ai,OAuth 2.0,Low
dcm-inc.com,OAuth 2.0,Low
dcycle.io,OAuth 2.0,Low
dealmachine.com,OAuth 2.0,Low
dealroom.co,OAuth 2.0,Low
dealsplus.io,OAuth 2.0,Low
deapi.ai,OAuth 2.0,Low
decaid.ai,OAuth 2.0,Low
dedaluslabs.ai,OAuth 2.0,Low
deducta.ai,OAuth 2.0,Low
deepfaic.com,OAuth 2.0,Low
deepfreeze.com.br,OAuth 2.0,Low
deepidv.com,OAuth 2.0,Low
deepintent.com,OAuth 2.0,Low
deeploy.ai,OAuth 2.0,Low
deepsource.com,OAuth 2.0,Low
defactotech.com,OAuth 2.0,Low
defense.com,OAuth 2.0,Low
defense.com™,OAuth 2.0,Low
deficarrot.com,OAuth 2.0,Low
delta.app,OAuth 2.0,Low
deltax.la,OAuth 2.0,Low
democracy.works,OAuth 2.0,Low
demola.net,OAuth 2.0,Low
demostack.com,OAuth 2.0,Low
dennislawgh.com,OAuth 2.0,Low
deonlinedrogist.nl,OAuth 2.0,Low
desch.com,OAuth 2.0,Low
descope.com,OAuth 2.0,Low
deskea.com,OAuth 2.0,Low
deskfirst.com,OAuth 2.0,Low
deso.com,OAuth 2.0,Low
detrack.com,OAuth 2.0,Low
detrics.io,OAuth 2.0,Low
devally.com,OAuth 2.0,Low
devcycle.com,OAuth 2.0,Low
devdynamics.ai,OAuth 2.0,Low
devin.ai,OAuth 2.0,Low
devxhub.com,OAuth 2.0,Low
dgline.it,OAuth 2.0,Low
dhan.co,OAuth 2.0,Low
dice.com,OAuth 2.0,Low
dichiarofacile.it,OAuth 2.0,Low
didlogic.com,OAuth 2.0,Low
diffbot.com,OAuth 2.0,Low
diffly.co,OAuth 2.0,Low
digibull.ai,OAuth 2.0,Low
digioh.com,OAuth 2.0,Low
digistore24.com,OAuth 2.0,Low
digital-masters.de,OAuth 2.0,Low
digitald.tech,OAuth 2.0,Low
digitaldeluxe.com.au,OAuth 2.0,Low
digitaldtech.com,OAuth 2.0,Low
digitalhamster.com,OAuth 2.0,Low
digitaloriginal.app,OAuth 2.0,Low
digitalpages.com.br,OAuth 2.0,Low
digitalpolicyalert.org,OAuth 2.0,Low
digitalsamba.com,OAuth 2.0,Low
digitalsurge.com.au,OAuth 2.0,Low
digoo-it.com,OAuth 2.0,Low
dimoauto.com,OAuth 2.0,Low
dingtalk.com,OAuth 2.0,Low
discovercars.com,OAuth 2.0,Low
dispatchit.com,OAuth 2.0,Low
distil.ai,OAuth 2.0,Low
dizzain.com,OAuth 2.0,Low
dj.studio,OAuth 2.0,Low
dm.de,OAuth 2.0,Low
dma-group.co.uk,OAuth 2.0,Low
dmgmori.com,OAuth 2.0,Low
dng.ai,OAuth 2.0,Low
dobbyads.com,OAuth 2.0,Low
docsautomator.co,OAuth 2.0,Low
doctranslate.io,OAuth 2.0,Low
dodopayments.com,OAuth 2.0,Low
doit.com,OAuth 2.0,Low
dokaa.app,OAuth 2.0,Low
doktormartin.sk,OAuth 2.0,Low
doktorsitesi.com,OAuth 2.0,Low
doku.com,OAuth 2.0,Low
dometrain.com,OAuth 2.0,Low
doola.com,OAuth 2.0,Low
dorsia.com,OAuth 2.0,Low
dotter.me,OAuth 2.0,Low
dottopia.com,OAuth 2.0,Low
doubletick.io,OAuth 2.0,Low
drakerep.com,OAuth 2.0,Low
drata.com,OAuth 2.0,Low
dreamlit.ai,OAuth 2.0,Low
driva.io,OAuth 2.0,Low
drivana.mx,OAuth 2.0,Low
drivops.com,OAuth 2.0,Low
drmobile.com.br,OAuth 2.0,Low
dromeiot.com,OAuth 2.0,Low
dronahq.com,OAuth 2.0,Low
dronedeploy.com,OAuth 2.0,Low
droners.io,OAuth 2.0,Low
dronus.com,OAuth 2.0,Low
dropcontact.com,OAuth 2.0,Low
dropcowboy.com,OAuth 2.0,Low
drtaerospace.com,OAuth 2.0,Low
drugbank.com,OAuth 2.0,Low
dstillery.com,OAuth 2.0,Low
dubaisc.ae,OAuth 2.0,Low
duda.co,OAuth 2.0,Low
duelapay.com,OAuth 2.0,Low
dukascopy.com,OAuth 2.0,Low
dynamicmockups.com,OAuth 2.0,Low
dynamicore.io,OAuth 2.0,Low
dyvenia.com,OAuth 2.0,Low
e-cruce.com,OAuth 2.0,Low
e-gineering.com,OAuth 2.0,Low
e37.se,OAuth 2.0,Low
e4k.co,OAuth 2.0,Low
easesolutions.com,OAuth 2.0,Low
eastelectricalsupply.com,OAuth 2.0,Low
easycomp.ai,OAuth 2.0,Low
easydmarc.com,OAuth 2.0,Low
easyleadz.com,OAuth 2.0,Low
easyship.com,OAuth 2.0,Low
ecair.eco,OAuth 2.0,Low
ecdb.com,OAuth 2.0,Low
echo.ai,OAuth 2.0,Low
echomotion.ai,OAuth 2.0,Low
economicmind.com,OAuth 2.0,Low
economybookings.com,OAuth 2.0,Low
ecosystem.ai,OAuth 2.0,Low
eden.so,OAuth 2.0,Low
edgetier.com,OAuth 2.0,Low
edgevana.com,OAuth 2.0,Low
edgewaterresearch.com,OAuth 2.0,Low
edito-pdf.com,OAuth 2.0,Low
edittree.in,OAuth 2.0,Low
edustoke.com,OAuth 2.0,Low
effectix.com,OAuth 2.0,Low
efultimatebreak.com,OAuth 2.0,Low
einsteinmoving.com,OAuth 2.0,Low
eka.care,OAuth 2.0,Low
eker.com,OAuth 2.0,Low
el-dokan.com,OAuth 2.0,Low
eleanorhealthcaregroup.co.uk,OAuth 2.0,Low
elementbrooklyn.com,OAuth 2.0,Low
elemera.au,OAuth 2.0,Low
elevva.co,OAuth 2.0,Low
eliex.ai,OAuth 2.0,Low
elitesportstours.com,OAuth 2.0,Low
elkat.no,OAuth 2.0,Low
ellipsend.com,OAuth 2.0,Low
ellty.com,OAuth 2.0,Low
elnora.ai,OAuth 2.0,Low
em360tech.com,OAuth 2.0,Low
embankment.com,OAuth 2.0,Low
emerge-tech.io,OAuth 2.0,Low
enapter.com,OAuth 2.0,Low
encoda.com,OAuth 2.0,Low
encompassonsite.com,OAuth 2.0,Low
endotech.io,OAuth 2.0,Low
endre.app,OAuth 2.0,Low
enercity.de,OAuth 2.0,Low
energyaspects.com,OAuth 2.0,Low
energycap.com,OAuth 2.0,Low
engrate.io,OAuth 2.0,Low
enigma.com,OAuth 2.0,Low
enji.co,OAuth 2.0,Low
enlyft.com,OAuth 2.0,Low
enric.ai,OAuth 2.0,Low
enrich.so,OAuth 2.0,Low
enshift.com,OAuth 2.0,Low
enter.health,OAuth 2.0,Low
entravel.com,OAuth 2.0,Low
entri.com,OAuth 2.0,Low
entro.security,OAuth 2.0,Low
envato.com,OAuth 2.0,Low
envest.com.tr,OAuth 2.0,Low
enviaflores.com,OAuth 2.0,Low
envoy.com,OAuth 2.0,Low
envsn.com,OAuth 2.0,Low
eon.io,OAuth 2.0,Low
epam.com,OAuth 2.0,Low
epcvip.com,OAuth 2.0,Low
epsilon3.io,OAuth 2.0,Low
ept.ai,OAuth 2.0,Low
equilityhq.com,OAuth 2.0,Low
eramba.org,OAuth 2.0,Low
erlin.ai,OAuth 2.0,Low
escape.tech,OAuth 2.0,Low
esim.com.br,OAuth 2.0,Low
espm.br,OAuth 2.0,Low
esputnik.com,OAuth 2.0,Low
essentiallysports.com,OAuth 2.0,Low
est-grp.com,OAuth 2.0,Low
estarter.co,OAuth 2.0,Low
estoko.com,OAuth 2.0,Low
esw.com,OAuth 2.0,Low
etermax.com,OAuth 2.0,Low
etstur.com,OAuth 2.0,Low
eulerapp.com,OAuth 2.0,Low
eunice.ai,OAuth 2.0,Low
eurekabio.com,OAuth 2.0,Low
evcomechanical.com,OAuth 2.0,Low
eventship.com,OAuth 2.0,Low
everestlabs.ai,OAuth 2.0,Low
evernote.com,OAuth 2.0,Low
evertrace.ai,OAuth 2.0,Low
everwall.com,OAuth 2.0,Low
everymanjack.com,OAuth 2.0,Low
evolve-finance.com,OAuth 2.0,Low
evrim.ai,OAuth 2.0,Low
evye.co,OAuth 2.0,Low
exa.ai,OAuth 2.0,Low
excopartners.com,OAuth 2.0,Low
exotel.com,OAuth 2.0,Low
expanso.io,OAuth 2.0,Low
explorium.ai,OAuth 2.0,Low
expo.dev,OAuth 2.0,Low
extend.com,OAuth 2.0,Low
eyer.ai,OAuth 2.0,Low
eykdata.com,OAuth 2.0,Low
eztexting.com,OAuth 2.0,Low
ezurio.com,OAuth 2.0,Low
facesign.ai,OAuth 2.0,Low
facilio.com,OAuth 2.0,Low
factori.ai,OAuth 2.0,Low
facturadirecta.com,OAuth 2.0,Low
faculti.net,OAuth 2.0,Low
fairly.com,OAuth 2.0,Low
fakturaonline.cz,OAuth 2.0,Low
fal.ai,OAuth 2.0,Low
falconfeeds.io,OAuth 2.0,Low
familux.com,OAuth 2.0,Low
famousbirthdays.com,OAuth 2.0,Low
fanalists.com,OAuth 2.0,Low
farmley.com,OAuth 2.0,Low
fastbridgefiber.com,OAuth 2.0,Low
fastweigh.com,OAuth 2.0,Low
feathershark.com,OAuth 2.0,Low
fed10.ai,OAuth 2.0,Low
feeco.com,OAuth 2.0,Low
feedly.com,OAuth 2.0,Low
feedspace.io,OAuth 2.0,Low
fergus.com,OAuth 2.0,Low
ferryhopper.com,OAuth 2.0,Low
ferryscanner.com,OAuth 2.0,Low
fianu.io,OAuth 2.0,Low
fiber.ai,OAuth 2.0,Low
fifthrow.com,OAuth 2.0,Low
figr.design,OAuth 2.0,Low
file.ai,OAuth 2.0,Low
filika.co,OAuth 2.0,Low
finam.ru,OAuth 2.0,Low
findable.ai,OAuth 2.0,Low
findoctave.com,OAuth 2.0,Low
findy-team.io,OAuth 2.0,Low
findymail.com,OAuth 2.0,Low
fingertip.com,OAuth 2.0,Low
finoptimal.com,OAuth 2.0,Low
finout.io,OAuth 2.0,Low
finpact.ch,OAuth 2.0,Low
finthesis.io,OAuth 2.0,Low
fintoc.com,OAuth 2.0,Low
fireberry.com,OAuth 2.0,Low
firebird.ai,OAuth 2.0,Low
fireflies.ai,OAuth 2.0,Low
firmao.pl,OAuth 2.0,Low
firstlight.farm,OAuth 2.0,Low
fitbod.me,OAuth 2.0,Low
fitsamerica.com,OAuth 2.0,Low
fl3xx.com,OAuth 2.0,Low
flalingo.com,OAuth 2.0,Low
flashbots.net,OAuth 2.0,Low
flashvote.com,OAuth 2.0,Low
flavorcloud.com,OAuth 2.0,Low
fleetx.io,OAuth 2.0,Low
flexmls.com,OAuth 2.0,Low
flipsnack.com,OAuth 2.0,Low
flodesk.com,OAuth 2.0,Low
floorfound.com,OAuth 2.0,Low
floorspace.ca,OAuth 2.0,Low
flora.ai,OAuth 2.0,Low
flotiq.com,OAuth 2.0,Low
flowcode.com,OAuth 2.0,Low
flowcredi.com.br,OAuth 2.0,Low
flowgenx.ai,OAuth 2.0,Low
flowlogic.com.au,OAuth 2.0,Low
flowlu.com,OAuth 2.0,Low
flowrms.com,OAuth 2.0,Low
flue-ducting.co.uk,OAuth 2.0,Low
fluix.io,OAuth 2.0,Low
fluss.io,OAuth 2.0,Low
flyin.com,OAuth 2.0,Low
flylance.com,OAuth 2.0,Low
flymy.ai,OAuth 2.0,Low
fogodechao.com,OAuth 2.0,Low
fomo.ai,OAuth 2.0,Low
fonzi.ai,OAuth 2.0,Low
foodello.com,OAuth 2.0,Low
foresight.ai,OAuth 2.0,Low
forinvest.com,OAuth 2.0,Low
forkast.gg,OAuth 2.0,Low
formant.io,OAuth 2.0,Low
formassembly.com,OAuth 2.0,Low
formly.ai,OAuth 2.0,Low
forte.co.nz,OAuth 2.0,Low
forter.com,OAuth 2.0,Low
foundational.io,OAuth 2.0,Low
founderplus.id,OAuth 2.0,Low
fountain.com,OAuth 2.0,Low
fourthwall.tv,OAuth 2.0,Low
foxnews.com,OAuth 2.0,Low
fpre.ch,OAuth 2.0,Low
frambemanning.se,OAuth 2.0,Low
frame.io,OAuth 2.0,Low
frandesa.by,OAuth 2.0,Low
frankencoin.com,OAuth 2.0,Low
franklinsports.com,OAuth 2.0,Low
frankyandricky.com,OAuth 2.0,Low
fraudlogix.com,OAuth 2.0,Low
freedom.world,OAuth 2.0,Low
freee.co.jp,OAuth 2.0,Low
freee.k.k.,OAuth 2.0,Low
freelo.io,OAuth 2.0,Low
fresha.com,OAuth 2.0,Low
freshauto.ru,OAuth 2.0,Low
freshbus.com,OAuth 2.0,Low
freshpoint.cz,OAuth 2.0,Low
freshtrackscanada.com,OAuth 2.0,Low
frictionlessit.net,OAuth 2.0,Low
friday.nl,OAuth 2.0,Low
front.com,OAuth 2.0,Low
frontguys.fr,OAuth 2.0,Low
frsport.com,OAuth 2.0,Low
fryd.app,OAuth 2.0,Low
fulcra.ai,OAuth 2.0,Low
fulfyld.com,OAuth 2.0,Low
fundacion-viva.org,OAuth 2.0,Low
fundify.com,OAuth 2.0,Low
fungies.io,OAuth 2.0,Low
furious-squad.com,OAuth 2.0,Low
fuse.io,OAuth 2.0,Low
fuselabcreative.com,OAuth 2.0,Low
fusionpact.com,OAuth 2.0,Low
futureprinciple.com,OAuth 2.0,Low
futuresearch.ai,OAuth 2.0,Low
futuresnoops.com,OAuth 2.0,Low
fydeos.io,OAuth 2.0,Low
fyers.in,OAuth 2.0,Low
fyma.ai,OAuth 2.0,Low
fynite.ai,OAuth 2.0,Low
fyxer.com,OAuth 2.0,Low
fyxt.com,OAuth 2.0,Low
g2.com,OAuth 2.0,Low
gaana.com,OAuth 2.0,Low
gabriel.sk,OAuth 2.0,Low
