Domain,Authentication_Method,Status
ams-osram.com,OAuth 2.0,Verified
amt.ai,OAuth 2.0,Verified
anca.com,OAuth 2.0,Verified
and.com,OAuth 2.0,Verified
andcapitalventures.com,OAuth 2.0,Verified
andiron.ai,OAuth 2.0,Verified
ando.so,OAuth 2.0,Verified
aneon.at,OAuth 2.0,Verified
aniamanagement.com,OAuth 2.0,Verified
animaj.com,OAuth 2.0,Verified
anomalycapital.com,OAuth 2.0,Verified
antavo.com,OAuth 2.0,Verified
antbuddy.com,OAuth 2.0,Verified
antimetal.com,OAuth 2.0,Verified
antler.co,OAuth 2.0,Verified
antsomi.com,OAuth 2.0,Verified
anyonehome.com,OAuth 2.0,Verified
apaleo.com,OAuth 2.0,Verified
aparti.ai,OAuth 2.0,Verified
aperture.london,OAuth 2.0,Verified
api-and-you.com,OAuth 2.0,Verified
apicbase.com,OAuth 2.0,Verified
apify.com,OAuth 2.0,Verified
apolline.art,OAuth 2.0,Verified
apono.io,OAuth 2.0,Verified
appcircle.io,OAuth 2.0,Verified
appcues.com,OAuth 2.0,Verified
appflow.ai,OAuth 2.0,Verified
appliedmetatheory.org,OAuth 2.0,Verified
applypass.com,OAuth 2.0,Verified
appmedo.com,OAuth 2.0,Verified
apprecio.com,OAuth 2.0,Verified
apter.com.br,OAuth 2.0,Verified
aptoide.com,OAuth 2.0,Verified
aqmen.ai,OAuth 2.0,Verified
aquant.ai,OAuth 2.0,Verified
aquilax.ai,OAuth 2.0,Verified
aquion.com.au,OAuth 2.0,Verified
arcade.software,OAuth 2.0,Verified
arcadis.com,OAuth 2.0,Verified
arcananet.com,OAuth 2.0,Verified
archera.ai,OAuth 2.0,Verified
archilogic.com,OAuth 2.0,Verified
arcwise.app,OAuth 2.0,Verified
are.na,OAuth 2.0,Verified
arena.com.tr,OAuth 2.0,Verified
aries.com,OAuth 2.0,Verified
aris.in,OAuth 2.0,Verified
aritium.com,OAuth 2.0,Verified
arll.eu,OAuth 2.0,Verified
armature.tech,OAuth 2.0,Verified
armor1.ai,OAuth 2.0,Verified
aromatruffle.com,OAuth 2.0,Verified
aroya.io,OAuth 2.0,Verified
arta.ch,OAuth 2.0,Verified
artblocks.io,OAuth 2.0,Verified
artemis.ai,OAuth 2.0,Verified
arternal.com,OAuth 2.0,Verified
articulate.com,OAuth 2.0,Verified
artie.com,OAuth 2.0,Verified
artofscale.io,OAuth 2.0,Verified
artxfood.fr,OAuth 2.0,Verified
asana.com,OAuth 2.0,Verified
ascendancy.co,OAuth 2.0,Verified
ascgroup.net,OAuth 2.0,Verified
ashbyhq.com,OAuth 2.0,Verified
askable.com,OAuth 2.0,Verified
askturing.ai,OAuth 2.0,Verified
aspirelearning.app,OAuth 2.0,Verified
asset-industrial.com,OAuth 2.0,Verified
asteroid.ai,OAuth 2.0,Verified
astra-sa.com,OAuth 2.0,Verified
astrasync.ai,OAuth 2.0,Verified
astrologyapi.com,OAuth 2.0,Verified
athenium.com,OAuth 2.0,Verified
atiaustralia.edu.au,OAuth 2.0,Verified
atlan.com,OAuth 2.0,Verified
atlar.com,OAuth 2.0,Verified
atlaspeople.io,OAuth 2.0,Verified
atlasx.co,OAuth 2.0,Verified
atlys.com,OAuth 2.0,Verified
atm-maggioli.es,OAuth 2.0,Verified
atom.com,OAuth 2.0,Verified
atomic.supply,OAuth 2.0,Verified
atominvest.co,OAuth 2.0,Verified
atqor.com,OAuth 2.0,Verified
atriumdata.ai,OAuth 2.0,Verified
attio.com,OAuth 2.0,Verified
attomdata.com,OAuth 2.0,Verified
attributionapp.com,OAuth 2.0,Verified
audens-avocats.com,OAuth 2.0,Verified
audible.com,OAuth 2.0,Verified
audiencelab.io,OAuth 2.0,Verified
audiopod.ai,OAuth 2.0,Verified
audioscape.ai,OAuth 2.0,Verified
auglio.com,OAuth 2.0,Verified
augursecurity.com,OAuth 2.0,Verified
aurait.ai,OAuth 2.0,Verified
aurelian.com,OAuth 2.0,Verified
austintechnology.com.au,OAuth 2.0,Verified
authing.cn,OAuth 2.0,Verified
authzed.com,OAuth 2.0,Verified
autobahnporsche.com,OAuth 2.0,Verified
autobooks.co,OAuth 2.0,Verified
autonimate.com,OAuth 2.0,Verified
autosana.ai,OAuth 2.0,Verified
avalara.com,OAuth 2.0,Verified
avertro.com,OAuth 2.0,Verified
avmap.it,OAuth 2.0,Verified
avo.app,OAuth 2.0,Verified
avoma.com,OAuth 2.0,Verified
awo.agency,OAuth 2.0,Verified
axify.io,OAuth 2.0,Verified
axiocap.com,OAuth 2.0,Verified
